Community health worker designation,Gender,What is your current age (in years)?,How long have you worked in this village/Area (In years),What is your marital status,Do you have children?,Highest level of education completed,What type of initial training did you receive to serve as a community health worker?,Other (please specify),An introduction to the CHV training Course,Community Governance and Leadership,"Communication, Advocacy and Social Mobilization",Best Practices for Health Promotion and Disease Prevention,Basic Health Care and Lifesaving Skills,Management and Use of Community Health Information and Disease Surveillance.,What do you remember most clearly from your training?,Other (please specify),"Water, Sanitation and Hygiene",Community Nutrition,Integrated Community Case Management,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Do you receive regular refresher or continuous professional training training?,"Maternal, Neonatal and child health (MNCH)","HIV, TB and Malaria",Non communicable diseases (NCDs),Mental Health,WASH,Data management and digital reporting,Community engagement,Other (please specify),Which training topic was most clearly presented? (Select all that applies),Other (please specify),Were you certified after training?,Does having CHP certification influence motivation or performance?,How would you rate the quality of the main training provided to you as a CHP?,Household visits,Health promotion and education,MNCH support,Disease surveillance,Basic NCD screening,Referrals and follow-up,Community mobilization,WASH promotion,Distribution of LLTNs,Defaulter Tracing,How clear are you about the services you are officially expected to provide in your role?,Are you routinely assigned tasks that you believe fall outside your official scheme of service?,How would you rate the overall quality of community health services delivered?,Community health services are consistent across villages/households?,How often do you receive supportive supervision?,Who provides/Supposed to provide supervision: CHEWs/CHAs,Facility - in - charges,Community health focal persons,Partner staff,I don't know,Other (please specify),How adequate is the supervision provided?,"Do you have the tools and commodities they need to perform their roles (job aids, reporting tools, referral slips, kits)?",What challenges affect the quality of community health service delivery? (open ended),How are you being engaged as a CHP?,Do you receive a stipend?,"Source of stipends : Yes, from national government","Yes, from county government","Yes, from partners",None,"If yes, how adequate is the remuneration?",Non-financial incentives : None of the above,Uniforms/Badges,Phone,Airtime,Fare/Transport support/means of transport,Recognition events,Training opportunities,Other (please specify),Does partner funding support community health operations?,"Are you involved in income-generating groups (CHW IGAs, savings groups, cooperatives)?","If yes, which income-generating activities (IGAs) are you involved in?",How effective are these IGAs in supporting CHW motivation and retention?,Inadequate and Unpredictable Funding for Community Health Programs,Insufficient Remuneration and Incentives for Community Health Workers (CHWs),"Limited Financing for Commodities, Supplies, and Logistics","Weak Funding for Supervision, Training, and Data Systems",Poor Integration of Community Health into Broader Health Financing Frameworks,What data collection tools do CHPs use? ,Activity reporting forms,Digital tools (eCHIS),Partner tools,Other (please specify),Are the tools adequate for the work required?,How frequently do you submit reports?,How would you rate data accuracy and completeness?,In your opinion is community-level data used for decision-making?,Who uses the data? : CHPs,CHEWs/CHAs,Facility staff,County HR and Planning,Partners,National programs,Do you receive feedback on the reports you generate?,Who gives you feedback on the reports you generate?,Other (please specify),Is community-level data integrated into KHIS/DHIS2?,Do you know that Kenya is in the process of locally manufacturing vaccines?,Would you be willing to be vaccinated with a locally manufactured vaccine?,Would you be willing to recommend/encourage mothers to get the locally manufactured vaccine.,How would they feel the local community will respond to locally made vaccines?,Any thoughts on what Government can do to improve the uptake of locally made medicines and vaccines? : Community sensitization and engagement to build public confidence in locally manufactured medicines and vaccines,Robust regulatory oversight is essential to ensure that locally produced medicines meet international quality standards,Assure and Communicate Product Quality,Ensure Competitive Pricing and Affordability,Reduce Overreliance on Imports and Build Resilience,"Communicate the contribution of local pharmaceutical production to job creation, innovation, and broader industrial growth",Local manufacturing strengthens resilience against global shocks and supports timely access to essential medicines and vaccines.
Community health promoter (CHP),Female,Above 44,07-Aug,Married,Yes,Secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,40 - 44,07-Aug,Married,Yes,Secondary,Standardized government curriculum,,An introduction to the CHV training Course,Community Governance and Leadership,"Communication, Advocacy and Social Mobilization",Best Practices for Health Promotion and Disease Prevention,Basic Health Care and Lifesaving Skills,Management and Use of Community Health Information and Disease Surveillance.,Community Governance and Leadership,,"Water, Sanitation and Hygiene",,,,,,,Rarely,"Maternal, Neonatal and child health (MNCH)","HIV, TB and Malaria",Non communicable diseases (NCDs),Mental Health,WASH,Data management and digital reporting,Community engagement,,"HIV, TB and Malaria",,Yes,Extremely,High quality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,40 - 44,07-Aug,Married,Yes,Secondary,NGO-led training,,An introduction to the CHV training Course,Community Governance and Leadership,"Communication, Advocacy and Social Mobilization",Best Practices for Health Promotion and Disease Prevention,Basic Health Care and Lifesaving Skills,Management and Use of Community Health Information and Disease Surveillance.,Management and Use of Community Health Information and Disease Surveillance.,,"Water, Sanitation and Hygiene",,Integrated Community Case Management,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Sometimes,"Maternal, Neonatal and child health (MNCH)","HIV, TB and Malaria",Non communicable diseases (NCDs),Mental Health,WASH,Data management and digital reporting,Community engagement,,Data management and digital reporting,,No,Not at all,Very high quality,1,2,5,8,9,6,4,3,10,7,Extremely clear,Never,Excellent,Strongly agree,Monthly,CHEWs/CHAs,,,,,,Very adequate,Always,None ,Volunteer,"Yes, i receive but not regularly","Yes, from national government","Yes, from county government",,,Very Inadequate,,Uniforms/Badges,Phone,,,,Training opportunities,,"Yes, Partially",No,,,2,3,1,4,5,MOH registers,Activity reporting forms,Digital tools (eCHIS),,,No,Monthly,Good,"Yes, regularly",CHPs,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Male,35 - 39,0 - 2,Married,Yes,Tertiary (Certificate),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,Above 44,0 - 2,Married,Yes,Secondary,Standardized government curriculum,,An introduction to the CHV training Course,Community Governance and Leadership,"Communication, Advocacy and Social Mobilization",Best Practices for Health Promotion and Disease Prevention,Basic Health Care and Lifesaving Skills,Management and Use of Community Health Information and Disease Surveillance.,Community Governance and Leadership,,"Water, Sanitation and Hygiene",Community Nutrition,Integrated Community Case Management,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",,Sometimes,"Maternal, Neonatal and child health (MNCH)","HIV, TB and Malaria",Non communicable diseases (NCDs),Mental Health,WASH,Data management and digital reporting,Community engagement,,Data management and digital reporting,,Yes,Not at all,Very high quality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,40 - 44,0 - 2,Married,Yes,Secondary,NGO-led training,,,Community Governance and Leadership,,,,,Community Governance and Leadership,,,,,,,"HIV, TB and Malaria",,Usually,,,Non communicable diseases (NCDs),,,,,,Non communicable diseases (NCDs),,Yes,Considerably,Very high quality,2,3,1,4,5,6,7,8,9,10,Very clear,Rarely,Good,Strongly agree,Monthly,CHEWs/CHAs,,,,,,Very adequate,Always,Incoopetation in the household,Formal contract from the government,"Yes, i receive regularly",,"Yes, from county government",,,Adequate,,,Phone,,,,,,"Yes, majorly",Yes,Stiped,Very effective,4,2,3,5,1,,Activity reporting forms,,,,Yes,Monthly,Good,Occasionally,CHPs,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,35 - 39,05-Jun,Single,Yes,Secondary,Standardized government curriculum,,An introduction to the CHV training Course,Community Governance and Leadership,"Communication, Advocacy and Social Mobilization",Best Practices for Health Promotion and Disease Prevention,Basic Health Care and Lifesaving Skills,Management and Use of Community Health Information and Disease Surveillance.,Best Practices for Health Promotion and Disease Prevention,,"Water, Sanitation and Hygiene",Community Nutrition,Integrated Community Case Management,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Sometimes,"Maternal, Neonatal and child health (MNCH)","HIV, TB and Malaria",Non communicable diseases (NCDs),Mental Health,WASH,Data management and digital reporting,Community engagement,,Data management and digital reporting,,No,Not at all,High quality,1,2,5,7,8,4,3,9,10,6,Very clear,"Yes, frequently",Good,Strongly agree,Monthly,CHEWs/CHAs,Facility - in - charges,Community health focal persons,Partner staff,,,Very adequate,Always,Luck of gumboots and umbrellas ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,Above 44,09-Oct,Single,Yes,Secondary,NGO-led training,,An introduction to the CHV training Course,,,Best Practices for Health Promotion and Disease Prevention,Basic Health Care and Lifesaving Skills,,Basic Health Care and Lifesaving Skills,,"Water, Sanitation and Hygiene",Community Nutrition,,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Sometimes,"Maternal, Neonatal and child health (MNCH)","HIV, TB and Malaria",Non communicable diseases (NCDs),Mental Health,WASH,,Community engagement,,"HIV, TB and Malaria",,Yes,Considerably,High quality,1,2,5,9,8,3,6,7,10,4,Very clear,Not sure what is outside my scheme of service,Good,Agree,Monthly,CHEWs/CHAs,,,,,,Adequate,Usually,"Data,,system hanging",Letter of assignment,"Yes, i receive regularly","Yes, from national government","Yes, from county government",,,Adequate,,Uniforms/Badges,Phone,,,Recognition events,Training opportunities,,"Yes, Partially",Yes,Table banking and business,Somewhat effective,5,2,4,1,3,,,Digital tools (eCHIS),,,Yes,Monthly,Good,Occasionally,CHPs,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,30 - 34,03-Apr,Married,Yes,Tertiary (Certificate),NGO-led training,,An introduction to the CHV training Course,Community Governance and Leadership,"Communication, Advocacy and Social Mobilization",,Basic Health Care and Lifesaving Skills,Management and Use of Community Health Information and Disease Surveillance.,Basic Health Care and Lifesaving Skills,,"Water, Sanitation and Hygiene",Community Nutrition,,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Sometimes,"Maternal, Neonatal and child health (MNCH)","HIV, TB and Malaria",Non communicable diseases (NCDs),Mental Health,WASH,,Community engagement,,WASH,,No,Extremely,High quality,1,2,8,6,9,5,3,4,10,7,Very clear,Rarely,Fair,Disagree,Never,CHEWs/CHAs,,,,,,Adequate,Never," Low community awareness, cultural beliefs and practices  and lack of community  participation ",Volunteer,"Yes, i receive regularly",,"Yes, from county government",,,Adequate,,,Phone,,,Recognition events,Training opportunities,,"Yes, Partially",No,,,5,4,3,2,1,,,Digital tools (eCHIS),,,No,Monthly,Fair,Rarely,CHPs,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,Above 44,05-Jun,Married,Yes,Secondary,Standardized government curriculum,,An introduction to the CHV training Course,,,,,,Management and Use of Community Health Information and Disease Surveillance.,,"Water, Sanitation and Hygiene",Community Nutrition,Integrated Community Case Management,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",,Usually,"Maternal, Neonatal and child health (MNCH)","HIV, TB and Malaria",Non communicable diseases (NCDs),Mental Health,WASH,Data management and digital reporting,Community engagement,,WASH,,No,Slightly,High quality,1,2,5,4,3,7,6,8,9,10,Very clear,"Yes, occasionally",Fair,Strongly agree,Monthly,CHEWs/CHAs,,,,,,Very adequate,Usually,Lack of regular commodity ,Formal contract from the government,"Yes, i receive regularly","Yes, from national government","Yes, from county government",,,Adequate,,Uniforms/Badges,Phone,,,,Training opportunities,,Minimal,No,,,2,1,5,3,4,,,Digital tools (eCHIS),,,Yes,Monthly,Fair,"Yes, regularly",CHPs,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,25 - 29,03-Apr,Married,Yes,Tertiary (Certificate),Standardized government curriculum,,An introduction to the CHV training Course,Community Governance and Leadership,"Communication, Advocacy and Social Mobilization",Best Practices for Health Promotion and Disease Prevention,Basic Health Care and Lifesaving Skills,Management and Use of Community Health Information and Disease Surveillance.,Management and Use of Community Health Information and Disease Surveillance.,,"Water, Sanitation and Hygiene",Community Nutrition,Integrated Community Case Management,,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Usually,"Maternal, Neonatal and child health (MNCH)","HIV, TB and Malaria",Non communicable diseases (NCDs),Mental Health,WASH,Data management and digital reporting,Community engagement,,Community engagement,,Yes,Extremely,Very high quality,1,3,5,4,6,9,2,7,8,10,Extremely clear,Never,Fair,Agree,Weekly,CHEWs/CHAs,,,,,,Very adequate,Always,"Cultural beliefs and practices,motivation and incentives for workers.",Volunteer,"Yes, i receive regularly","Yes, from national government","Yes, from county government",,,Adequate,,Uniforms/Badges,Phone,,,,Training opportunities,,"Yes, majorly",Yes,Table banking,Extremely effective,2,4,3,5,1,,,Digital tools (eCHIS),,,Partially,Weekly,Good,"Yes, regularly",CHPs,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,35 - 39,03-Apr,Single,Yes,Tertiary (Certificate),On-the-job orientation only,,,,,Best Practices for Health Promotion and Disease Prevention,,,Basic Health Care and Lifesaving Skills,,"Water, Sanitation and Hygiene",,,,,,,Rarely,,,,,WASH,,,,WASH,,No,Moderately,High quality,1,2,8,3,7,4,5,6,9,10,Very clear,Rarely,Good,Agree,Monthly,CHEWs/CHAs,,,,,,Adequate,Sometimes,System hanging ,Letter of assignment,"Yes, i receive regularly","Yes, from national government","Yes, from county government",,,Adequate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,25 - 29,03-Apr,Married,Yes,Tertiary (Certificate),Standardized government curriculum,,An introduction to the CHV training Course,Community Governance and Leadership,"Communication, Advocacy and Social Mobilization",Best Practices for Health Promotion and Disease Prevention,Basic Health Care and Lifesaving Skills,Management and Use of Community Health Information and Disease Surveillance.,Management and Use of Community Health Information and Disease Surveillance.,,"Water, Sanitation and Hygiene",Community Nutrition,Integrated Community Case Management,,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Usually,"Maternal, Neonatal and child health (MNCH)","HIV, TB and Malaria",Non communicable diseases (NCDs),Mental Health,WASH,,Community engagement,Enterpreneurship,Mental Health,,No,Extremely,Very high quality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHEWs/CHAs,Facility staff,County HR and Planning,Partners,National programs,"Yes, occasionally",Government officers like CHAs,,Fully,No,Yes,Likely,They  will accept if well  informed of the same in time.,Community sensitization and engagement to build public confidence in locally manufactured medicines and vaccines,Robust regulatory oversight is essential to ensure that locally produced medicines meet international quality standards,,Ensure Competitive Pricing and Affordability,,,
Community health promoter (CHP),Male,35 - 39,07-Aug,Single,Yes,Tertiary (Diploma),Standardized government curriculum,,An introduction to the CHV training Course,Community Governance and Leadership,"Communication, Advocacy and Social Mobilization",Best Practices for Health Promotion and Disease Prevention,Basic Health Care and Lifesaving Skills,Management and Use of Community Health Information and Disease Surveillance.,Community Governance and Leadership,,"Water, Sanitation and Hygiene",Community Nutrition,Integrated Community Case Management,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Sometimes,"Maternal, Neonatal and child health (MNCH)","HIV, TB and Malaria",Non communicable diseases (NCDs),,WASH,,,,WASH,,No,Considerably,Neither high nor low quality,5,1,2,4,3,8,9,7,6,10,Extremely clear,"Yes, occasionally",Good,Neither agree nor disagree,Quarterly,CHEWs/CHAs,,,,,,Neutral,Sometimes,Improper communication channels between the workers and the leaders,Formal contract from the government,"Yes, i receive regularly","Yes, from national government","Yes, from county government",,,Very Inadequate,,Uniforms/Badges,Phone,,,,Training opportunities,,Minimal,No,,,1,5,2,3,4,,,Digital tools (eCHIS),,,Partially,Monthly,Fair,Rarely,CHPs,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,40 - 44,03-Apr,Single,Yes,Tertiary (Certificate),On-the-job orientation only,,,,,Best Practices for Health Promotion and Disease Prevention,,,Best Practices for Health Promotion and Disease Prevention,,"Water, Sanitation and Hygiene",,,,,,,Sometimes,,"HIV, TB and Malaria",,,,,,,"HIV, TB and Malaria",,No,Moderately,High quality,1,2,4,9,5,3,8,7,10,6,Very clear,Rarely,Fair,Agree,Monthly,CHEWs/CHAs,,,,,,Adequate,Sometimes,Cooperation of household ,Volunteer,"Yes, i receive regularly","Yes, from national government","Yes, from county government",,,Adequate,,,,,,,Training opportunities,,"Yes, Partially",No,,,1,5,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,35 - 39,0 - 2,Married,Yes,Secondary,Standardized government curriculum,,An introduction to the CHV training Course,,,,,,Basic Health Care and Lifesaving Skills,,"Water, Sanitation and Hygiene",,,,,,,Sometimes,,"HIV, TB and Malaria",,,,,,,"HIV, TB and Malaria",,Yes,Extremely,High quality,1,3,9,6,5,8,2,4,10,7,Very clear,"Yes, occasionally",Good,Agree,Monthly,CHEWs/CHAs,,,,,,Neutral,Always,Unclear misundersting,Formal contract from the government,"Yes, i receive regularly",,"Yes, from county government",,,Adequate,,,,,,,Training opportunities,I,"Yes, majorly",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,Above 44,05-Jun,Single,Yes,Tertiary (Certificate),NGO-led training,,An introduction to the CHV training Course,,"Communication, Advocacy and Social Mobilization",,Basic Health Care and Lifesaving Skills,,Basic Health Care and Lifesaving Skills,,,,,,,,Non communicable Diseases,Rarely,,,Non communicable diseases (NCDs),,WASH,,,,Non communicable diseases (NCDs),,Yes,Slightly,Neither high nor low quality,1,4,9,6,8,5,3,2,10,7,Very clear,Rarely,Fair,Disagree,Rarely,CHEWs/CHAs,,,,,,Adequate,Never,Lack of equipments and commodities ,Volunteer,"Yes, i receive regularly","Yes, from national government","Yes, from county government",,,Adequate,,,,,,,Training opportunities,,"Yes, Partially",No,,,1,2,4,3,5,MOH registers,,,,,Partially,Monthly,Fair,Rarely,CHPs,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,30 - 34,03-Apr,Single,Yes,Secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,40 - 44,05-Jun,Single,Yes,Tertiary (Undergraduate),Standardized government curriculum,,An introduction to the CHV training Course,Community Governance and Leadership,"Communication, Advocacy and Social Mobilization",Best Practices for Health Promotion and Disease Prevention,Basic Health Care and Lifesaving Skills,Management and Use of Community Health Information and Disease Surveillance.,Best Practices for Health Promotion and Disease Prevention,,,Community Nutrition,,Maternal and Newborn Health,,,,Rarely,"Maternal, Neonatal and child health (MNCH)","HIV, TB and Malaria",Non communicable diseases (NCDs),Mental Health,WASH,Data management and digital reporting,Community engagement,Wash,Other (please specify),Wash,No,Extremely,Neither high nor low quality,1,2,6,7,10,3,5,8,9,4,Very clear,Rarely,Good,Agree,Monthly,CHEWs/CHAs,,,Partner staff,,,Adequate,Usually,Lack of cooperation from the community members.Insecurity,Formal contract from the government,"Yes, i receive regularly","Yes, from national government","Yes, from county government",,,Very Inadequate,,Uniforms/Badges,Phone,,,,Training opportunities,,Minimal,No,,,1,2,3,4,5,,Activity reporting forms,Digital tools (eCHIS),,,Yes,Monthly,Good,Occasionally,CHPs,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,40 - 44,Above 10 years,Single,Yes,Secondary,NGO-led training,,,Community Governance and Leadership,"Communication, Advocacy and Social Mobilization",,,,Best Practices for Health Promotion and Disease Prevention,,"Water, Sanitation and Hygiene",Community Nutrition,Integrated Community Case Management,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",,Sometimes,,"HIV, TB and Malaria",Non communicable diseases (NCDs),Mental Health,WASH,Data management and digital reporting,Community engagement,,Community engagement,,Yes,Extremely,High quality,1,2,3,4,5,6,7,8,9,10,Very clear,Rarely,Good,Agree,Monthly,CHEWs/CHAs,,,,,,Very adequate,Always,Data collecting tool is poor,Formal contract from the government,"Yes, i receive regularly","Yes, from national government","Yes, from county government",,,Inadequate,,Uniforms/Badges,Phone,,,,Training opportunities,,"Yes, Partially",Yes,Yes,Extremely effective,3,1,4,5,2,,,Digital tools (eCHIS),,,No,Monthly,Good,"Yes, regularly",,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,20 - 24,03-Apr,Single,No,Tertiary (Certificate),NGO-led training,,,,"Communication, Advocacy and Social Mobilization",,Basic Health Care and Lifesaving Skills,Management and Use of Community Health Information and Disease Surveillance.,Basic Health Care and Lifesaving Skills,,"Water, Sanitation and Hygiene",Community Nutrition,,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Sometimes,,"HIV, TB and Malaria",Non communicable diseases (NCDs),Mental Health,WASH,Data management and digital reporting,Community engagement,Health entrepreneurship ,WASH,,No,Considerably,High quality,1,4,8,6,9,5,3,2,10,7,Very clear,Rarely,Fair,Disagree,Rarely,CHEWs/CHAs,,,,,,Adequate,Never,Lack of commodities ,Volunteer,"Yes, i receive regularly",,"Yes, from county government",,,Adequate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,30 - 34,03-Apr,Married,Yes,Tertiary (Certificate),NGO-led training,,,,"Communication, Advocacy and Social Mobilization",,Basic Health Care and Lifesaving Skills,Management and Use of Community Health Information and Disease Surveillance.,Basic Health Care and Lifesaving Skills,,"Water, Sanitation and Hygiene",Community Nutrition,,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Sometimes,"Maternal, Neonatal and child health (MNCH)","HIV, TB and Malaria",Non communicable diseases (NCDs),Mental Health,WASH,Data management and digital reporting,Community engagement,Health entrepreneurship ,WASH,,No,Considerably,High quality,1,4,9,6,8,5,3,2,10,7,Very clear,Rarely,Fair,Disagree,Rarely,CHEWs/CHAs,,,,,,Adequate,Never," Low community awareness, cultural beliefs and practices  and lack of community  participation ",Volunteer,"Yes, i receive regularly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,Above 44,Above 10 years,Married,Yes,Tertiary (Certificate),Standardized government curriculum,,An introduction to the CHV training Course,Community Governance and Leadership,"Communication, Advocacy and Social Mobilization",Best Practices for Health Promotion and Disease Prevention,Basic Health Care and Lifesaving Skills,Management and Use of Community Health Information and Disease Surveillance.,Management and Use of Community Health Information and Disease Surveillance.,,"Water, Sanitation and Hygiene",,,Maternal and Newborn Health,Family Planning,,,Sometimes,"Maternal, Neonatal and child health (MNCH)",,,Mental Health,WASH,Data management and digital reporting,Community engagement,,Community engagement,,Yes,Extremely,Very high quality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,Above 44,0 - 2,Married,Yes,Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,40 - 44,09-Oct,Single,Yes,Tertiary (Certificate),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,40 - 44,07-Aug,Single,Yes,Tertiary (Diploma),Standardized government curriculum,,,,,Best Practices for Health Promotion and Disease Prevention,,,Basic Health Care and Lifesaving Skills,,"Water, Sanitation and Hygiene",Community Nutrition,Integrated Community Case Management,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",,Always,"Maternal, Neonatal and child health (MNCH)","HIV, TB and Malaria",Non communicable diseases (NCDs),Mental Health,WASH,Data management and digital reporting,Community engagement,,Community engagement,,Yes,Extremely,Very high quality,2,1,5,3,4,6,7,8,9,10,Very clear,"Yes, frequently",Excellent,Strongly agree,Monthly,CHEWs/CHAs,,,,,,Adequate,Always,"When a client moves to another location,you can't follow up the on him/her on matters concerning health ",Formal contract from the government,"Yes, i receive regularly","Yes, from national government","Yes, from county government",,,Adequate,,Uniforms/Badges,Phone,,Fare/Transport support/means of transport,Recognition events,Training opportunities,Trainings,"Yes, majorly",Yes,Community duties ie garbage collection ,Very effective,3,4,2,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,40 - 44,07-Aug,Married,Yes,Secondary,NGO-led training,,An introduction to the CHV training Course,Community Governance and Leadership,"Communication, Advocacy and Social Mobilization",Best Practices for Health Promotion and Disease Prevention,Basic Health Care and Lifesaving Skills,Management and Use of Community Health Information and Disease Surveillance.,Basic Health Care and Lifesaving Skills,,"Water, Sanitation and Hygiene",Community Nutrition,Integrated Community Case Management,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",,Sometimes,"Maternal, Neonatal and child health (MNCH)","HIV, TB and Malaria",Non communicable diseases (NCDs),Mental Health,WASH,Data management and digital reporting,Community engagement,,Community engagement,,No,Not at all,Very high quality,1,8,3,9,7,4,5,2,10,6,Extremely clear,Rarely,Excellent,Agree,Monthly,CHEWs/CHAs,,,,,,Very adequate,Always,None ,Volunteer,"Yes, i receive regularly","Yes, from national government","Yes, from county government",,,Very Inadequate,,Uniforms/Badges,Phone,,,,Training opportunities,,Minimal,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,30 - 34,05-Jun,Single,Yes,Secondary,NGO-led training,,,,,,Basic Health Care and Lifesaving Skills,,Best Practices for Health Promotion and Disease Prevention,,,,Integrated Community Case Management,,,,,Rarely,,,,,,Data management and digital reporting,,,Data management and digital reporting,,Yes,Extremely,Low quality,1,3,2,4,5,6,7,8,9,10,Very clear,Rarely,Good,Agree,Monthly,CHEWs/CHAs,,,,,,Adequate,Usually,We need more training on community health services and more commodities ,Formal contract from the government,"Yes, i receive regularly","Yes, from national government","Yes, from county government",,,Adequate,,Uniforms/Badges,Phone,,,,,,Minimal,No,,,1,3,2,4,5,,,Digital tools (eCHIS),,,Yes,Monthly,Good,"Yes, regularly",CHPs,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Male,20 - 24,03-Apr,Single,No,Tertiary (Undergraduate),Standardized government curriculum,,An introduction to the CHV training Course,,"Communication, Advocacy and Social Mobilization",Best Practices for Health Promotion and Disease Prevention,Basic Health Care and Lifesaving Skills,,Best Practices for Health Promotion and Disease Prevention,,"Water, Sanitation and Hygiene",,,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",,Usually,"Maternal, Neonatal and child health (MNCH)","HIV, TB and Malaria",Non communicable diseases (NCDs),Mental Health,,,Community engagement,,Mental Health,,Yes,Considerably,High quality,2,1,5,4,6,3,7,8,9,10,Very clear,Never,Good,Agree,Monthly,CHEWs/CHAs,,,,,,Neutral,Always,Tools and commodities ,Formal contract from the government,"Yes, i receive regularly","Yes, from national government",,,,Very Inadequate,,Uniforms/Badges,Phone,,,Recognition events,Training opportunities,,"Yes, majorly",Yes,Work SACCO,Very effective,1,2,3,4,5,MOH registers,,Digital tools (eCHIS),,,Yes,Monthly,Good,"Yes, regularly",CHPs,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,35 - 39,09-Oct,Married,Yes,Secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
